番号,ストーリー,メッセージ（最大200文字）,住人名,メッセージ,画像,レベル,人口(その施設を使いにくる人数 ）,自然（イラストに含まれる自然要素、なければ0）,教育（子供が利用しそうかどうか）,健康（施設によって健康になる）
0,公園,アンケートに回答したことで、公園の工事が始まりました！,,,,1,1,1,1,1
,公園,公園に芝生が植えられました！子供達がサッカーをして遊び始めたようです,,,,2,2,5,3,3
,公園,公園にベンチが置かれました！家族連れで楽しめるようになりましたね！,,,,3,2,3,3,3
,公園,ついに緑たくさんの公園が完成しました！街の緑が増えました！街の子供たちが喜んでいます！,外で遊ぶのが好きな女の子,公園を作ってくれてありがとう！,char_0.png,4,2,2,4,4
1,運動場,バスケットコートの工事が始まりました！ちなみに、最初期のバスケではゴールとして文字通り木製のカゴを使っていたとか。,,,,1,0,0,0,1
,運動場,コートの舗装が終わったようです！これで雨の日もぐちゃぐちゃにならずに遊べますね,,,,2,1,0,1,2
,運動場,バスケットコートが完成しました！子供たちが集まり始めたようです！,,,,3,3,1,3,4
,運動場,バスケットコートと公園が完成しました！男の子が喜んでいます！,オリンピックを目指す少年,いっぱい遊ぶぜ！！,char_1.png,4,3,3,4,4
2,図書館,多くの住民の希望により図書館の工事が始まりました！,,,,1,1,0,0,0
,図書館,図書館の完成まであと少し。ちなみに明治期は「ずしょかん」という呼び名だったらしいですよ,,,,2,2,0,1,1
,図書館,図書館が完成しました！住民たちは大喜びです,,,,3,3,2,4,2
,図書館,図書館の周りも自然豊かになりました。調べものが大好きな男性も大満足のようです,調べものが大好きな男性,本は私にとって人生そのものです,char_2.png,4,3,4,5,3
3,病院,病院が建設され始めました,,,,1,1,0,0,0
,病院,住民たちは早く病院ができることを待ち望んでいます,,,,2,2,0,0,1
,病院,病院が建設されました。遠くまで病院に通っていた住民から喜びの声が集まっています,,,,3,3,2,1,3
,病院,病院の周辺環境も非常によくなりました！都市の健康も保たれいます,健康が気になるおじいさん,病院が近いのは助かるわい,char_3.png,4,3,4,2,5
4,郵便局,郵便局の建設が始まりました,,,,1,1,0,0,0
,郵便局,そういえば郵政民営化後から17年間で郵便局は500件ほど減ったらしいですよ,,,,2,2,0,0,0
,郵便局,郵便局の建物が竣工しました。あとはスタッフが配置されるだけです,,,,3,3,2,1,0
,郵便局,郵便局がOPENしました！最初のお客さんはお子さんの口座を作りにきたお母さんだったらしいです,お子さんの口座を作りにきたお母さん,やっぱり子供の時からお金の管理は重要よ（ギラギラ）,char_4.png,4,3,4,5,0
5,学校,学校の建設が始まりました,,,,1,1,0,0,0
,学校,街の住民からは学校ができるのが待ち遠しいという声であふれています,,,,2,2,1,1,1
,学校,学校ができあがりました！生徒たちが協力して学校の庭園に草木を植えるらしいですよ,,,,3,3,2,4,2
,学校,立派な学校ができました！緑にあふれる学校で生徒たちも大満足です,おかっぱの女の子,学校は楽しいねぇ。宿題さえなければ最高だよ。,char_5.png,4,3,4,5,5
6,住宅エリア,新たな住宅が建設開始とのことです,,,,1,1,0,0,0
,住宅エリア,早くもファミリーが現地見学会に参加しているようです,,,,2,2,2,0,1
,住宅エリア,好立地の戸建て住宅のため抽選販売になるそうです。Spin Cityの人気を物語っています,,,,3,3,3,1,2
,住宅エリア,住人が他の街から引っ越してきたようです。早速インタビューしてみましょう,とある家庭のお母さん,新しい家は最高ね。ガーデニングもできるし、キッチンも広いし。,char_6.png,4,3,5,2,5
