title_number,level,message,character,character_message,character_img,level_population,level_education,level_health
0,1,アンケートに回答したことで、公園の工事が始まりました！,,,,0,0,0
0,2,公園に芝生が植えられました！子供達がサッカーをして遊び始めたようです,,,,2,5,3
0,3,公園にベンチが置かれました！家族連れで楽しめるようになりましたね！,,,,4,8,6
0,4,ついに緑たくさんの公園が完成しました！街の緑が増えました！街の子供たちが喜んでいます！,女の子,公園を作ってくれてありがとう！,character_0,6,8,8
1,1,バスケットコートの工事が始まりました！,,,,0,0,0
1,2,アンケートに回答することでバスケットコートが完成します！,,,,0,0,0
1,3,バスケットコートが完成しました！子供たちが集まり始めたようです！,,,,5,8,8
1,4,"バスケットコートと公園が完成しました！男の子が喜んでいます！",男の子,いっぱい遊ぶぜ！！,character_1,6,8,10
2,1,多くの住民の希望により図書館の工事が始まりました！,,,,0,0,0
2,2,図書館の完成まであと少し。ちなみに明治期は「ずしょかん」という呼び名だったらしいですよ,,,,2,0,0
2,3,図書館が完成しました！住民たちは大喜びです,,,,5,8,0
2,4,図書館の周りも自然豊かになりました。調べものが大好きな男性も大満足のようです,調べものが大好きな男性,本は私にとって人生そのものです,character_2,10,8,3
3,1,病院が建設され始めました,,,,0,0,0
3,2,住民たちは早く病院ができることを待ち望んでいます,,,,2,0,0
3,3,病院が建設されました。遠くまで病院に通っていた住民から喜びの声が集まっています,,,,5,0,8
3,4,病院の周辺環境も非常によくなりました！都市の健康も保たれいます,健康が気になるおじいさん,病院が近いのは助かるわい,character_3,10,2,10
4,1,郵便局の建設が始まりました,,,,0,0,0
4,2,そういえば郵政民営化後から17年間で郵便局は500件ほど減ったらしいですよ,,,,2,0,0
4,3,郵便局の建物が竣工しました。あとはスタッフが配置されるだけです,,,,8,0,0
4,4,郵便局がOPENしました！最初のお客さんはお子さんの口座を作りにきたお母さんだったらしいです,お子さんの口座を作りにきたお母さん,やっぱり子供の時からお金の管理は重要よ（ギラギラ）,character_4,10,5,0
5,1,学校の建設が始まりました,,,,0,0,0
5,2,街の住民からは学校ができるのが待ち遠しいという声であふれています,,,,2,0,0
5,3,学校ができあがりました！生徒たちが協力して学校の庭園に草木を植えるらしいですよ,,,,8,8,2
5,4,立派な学校ができました！緑にあふれる学校で生徒たちも大満足です,おかっぱの女の子,学校は楽しいねぇ。宿題さえなければ最高だよ。,character_5,10,10,5
6,1,新たな住宅が建設開始とのことです,,,,0,0,0
6,2,早くもファミリーが現地見学会に参加しているようです,,,,2,0,0
6,3,好立地の戸建て住宅のため抽選販売になるそうです。spincityの人気を物語っています,,,,5,0,2
6,4,住人が他の街から引っ越してきたようです。早速インタビューしてみましょう,とある家庭のお母さん,新しい家は最高ね。ガーデニングもできるし、キッチンも広いし。,character_6,10,2,5
